2025-11-25T17:26:51.585-0800	[34mINFO[0m	config/config.go:304	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 8, "dht.deBruijn.fixInterval": "3s", "dht.deBruijn.fixIntervalMs": 3000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "2s", "dht.faultTolerance.failureTimeoutMs": 2000, "dht.faultTolerance.simulatedLatency": "2ms", "dht.faultTolerance.simulatedLatencyMs": 2, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": ["localhost:4000"], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4026, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8106, "cache.capacityMB": 256, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-25T17:26:51.651-0800	[34mINFO[0m	node	node/main.go:103	New Node initializing	{"self": {"addr":"localhost:4026","id":"0x015e32d2969d7f6cef"}}
2025-11-25T17:26:51.653-0800	[34mINFO[0m	node	node/main.go:113	Simulated network latency enabled	{"self": {"addr":"localhost:4026","id":"0x015e32d2969d7f6cef"}, "latency": "2ms"}
2025-11-25T17:26:51.653-0800	[34mINFO[0m	node	node/main.go:129	initialized web cache	{"self": {"addr":"localhost:4026","id":"0x015e32d2969d7f6cef"}, "capacity_mb": 256}
2025-11-25T17:26:51.654-0800	[34mINFO[0m	node	node/main.go:136	initialized hotspot detector	{"self": {"addr":"localhost:4026","id":"0x015e32d2969d7f6cef"}, "threshold": 10, "decay_rate": 0.65}
2025-11-25T17:26:51.655-0800	[34mINFO[0m	node	node/main.go:190	Initialized Koorde node	{"self": {"addr":"localhost:4026","id":"0x015e32d2969d7f6cef"}}
2025-11-25T17:26:51.655-0800	[34mINFO[0m	node	node/main.go:266	resolved bootstrap peers	{"self": {"addr":"localhost:4026","id":"0x015e32d2969d7f6cef"}, "peers": ["localhost:4000"]}
2025-11-25T17:26:51.655-0800	[34mINFO[0m	node.http-server	server/http.go:93	HTTP cache server starting	{"self": {"addr":"localhost:4026","id":"0x015e32d2969d7f6cef"}, "addr": ":8106"}
2025-11-25T17:26:51.697-0800	[34mINFO[0m	node	logicnode/node.go:74	join: candidate successor found	{"self": {"addr":"localhost:4026","id":"0x015e32d2969d7f6cef"}, "bootstrap": "localhost:4000", "successor": {"addr":"localhost:4018","id":"0x016318180e29bcf4ff"}}
2025-11-25T17:26:51.700-0800	[34mINFO[0m	node	logicnode/node.go:105	join: successor has predecessor	{"self": {"addr":"localhost:4026","id":"0x015e32d2969d7f6cef"}, "predecessor": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}}
2025-11-25T17:26:51.706-0800	[33mWARN[0m	node	logicnode/operation.go:407	FindSuccessorStep: de Bruijn failed or empty, falling back to successor	{"self": {"addr":"localhost:4026","id":"0x015e32d2969d7f6cef"}, "target": "0x02ca645c5cbafca10a", "nextHop": {"addr":"localhost:4018","id":"0x016318180e29bcf4ff"}}
