2025-11-25T16:37:18.455-0800	[34mINFO[0m	config/config.go:302	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 8, "dht.deBruijn.fixInterval": "3s", "dht.deBruijn.fixIntervalMs": 3000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "1s", "dht.faultTolerance.failureTimeoutMs": 1000, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": ["localhost:4000"], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4005, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8085, "cache.capacityMB": 256, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-25T16:37:18.503-0800	[34mINFO[0m	node	node/main.go:103	New Node initializing	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}}
2025-11-25T16:37:18.506-0800	[34mINFO[0m	node	node/main.go:124	initialized web cache	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "capacity_mb": 256}
2025-11-25T16:37:18.507-0800	[34mINFO[0m	node	node/main.go:131	initialized hotspot detector	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "threshold": 10, "decay_rate": 0.65}
2025-11-25T16:37:18.507-0800	[34mINFO[0m	node	node/main.go:185	Initialized Koorde node	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}}
2025-11-25T16:37:18.508-0800	[34mINFO[0m	node	node/main.go:261	resolved bootstrap peers	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "peers": ["localhost:4000"]}
2025-11-25T16:37:18.508-0800	[34mINFO[0m	node.http-server	server/http.go:93	HTTP cache server starting	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "addr": ":8085"}
2025-11-25T16:37:18.528-0800	[34mINFO[0m	node	logicnode/node.go:74	join: candidate successor found	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "bootstrap": "localhost:4000", "successor": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}}
2025-11-25T16:37:18.531-0800	[34mINFO[0m	node	logicnode/node.go:105	join: successor has predecessor	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "predecessor": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}}
2025-11-25T16:37:18.535-0800	[33mWARN[0m	node	logicnode/operation.go:406	FindSuccessorStep: de Bruijn failed or empty, falling back to successor	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "target": "0x029957b678aedbe39a", "nextHop": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}}
2025-11-25T16:37:18.541-0800	[34mINFO[0m	node	logicnode/node.go:138	join: completed successfully	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "successor": {"addr":"localhost:4002","id":"0x01908ac16ec9805a32"}}
2025-11-25T16:37:18.542-0800	[34mINFO[0m	node	node/main.go:283	node registered successfully	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}}
2025-11-25T16:37:19.911-0800	[34mINFO[0m	node	logicnode/operation.go:541	Notify: predecessor updated	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "newPredecessor": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}, "oldPredecessor": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}}
2025-11-25T16:37:24.024-0800	[34mINFO[0m	node	logicnode/operation.go:541	Notify: predecessor updated	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "newPredecessor": {"addr":"localhost:4018","id":"0x016318180e29bcf4ff"}, "oldPredecessor": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}}
2025-11-25T16:38:39.156-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "hash": "0x03e9fd41d8eac92f37", "responsible": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "lookup_latency_ms": 33}
2025-11-25T16:38:39.157-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "hash": "0x03e9fd41d8eac92f37", "responsible_from_lookup": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "forward_target": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}}
2025-11-25T16:38:39.662-0800	[34mINFO[0m	node.http-server	server/http.go:617	Request proxied successfully	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "target_node": "localhost:4023", "total_latency_ms": 539, "size_bytes": 0}
2025-11-25T16:38:46.790-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "hash": "0x03e9fd41d8eac92f37", "responsible": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "lookup_latency_ms": 4}
2025-11-25T16:38:46.791-0800	[34mINFO[0m	node.http-server	server/http.go:215	Cache HIT (near)	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "size_bytes": 0, "latency_ms": 5}
2025-11-25T16:38:46.830-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "hash": "0x03e9fd41d8eac92f37", "responsible": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "lookup_latency_ms": 5}
2025-11-25T16:38:46.831-0800	[34mINFO[0m	node.http-server	server/http.go:215	Cache HIT (near)	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "size_bytes": 0, "latency_ms": 7}
2025-11-25T16:38:47.370-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "hash": "0x03e9fd41d8eac92f37", "responsible": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "lookup_latency_ms": 6}
2025-11-25T16:38:47.371-0800	[34mINFO[0m	node.http-server	server/http.go:215	Cache HIT (near)	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "size_bytes": 0, "latency_ms": 6}
2025-11-25T16:38:47.411-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "hash": "0x03e9fd41d8eac92f37", "responsible": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "lookup_latency_ms": 6}
2025-11-25T16:38:47.412-0800	[34mINFO[0m	node.http-server	server/http.go:215	Cache HIT (near)	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "size_bytes": 0, "latency_ms": 7}
2025-11-25T16:38:47.539-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "hash": "0x03e9fd41d8eac92f37", "responsible": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "lookup_latency_ms": 5}
2025-11-25T16:38:47.539-0800	[34mINFO[0m	node.http-server	server/http.go:215	Cache HIT (near)	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "size_bytes": 0, "latency_ms": 5}
2025-11-25T16:38:47.831-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "url": "https://httpbin.org/status/200", "hash": "0x03e9fd41d8eac92f37", "responsible": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "lookup_latency_ms": 6}
