2025-11-25T23:50:28.633-0800	[34mINFO[0m	config/config.go:302	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 4, "dht.deBruijn.fixInterval": "3s", "dht.deBruijn.fixIntervalMs": 3000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "1.5s", "dht.faultTolerance.failureTimeoutMs": 1500, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": ["localhost:4000"], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4008, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8088, "cache.capacityMB": 256, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-25T23:50:28.679-0800	[34mINFO[0m	node	node/main.go:103	New Node initializing	{"self": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}}
2025-11-25T23:50:28.680-0800	[34mINFO[0m	node	node/main.go:125	initialized web cache	{"self": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}, "capacity_mb": 256}
2025-11-25T23:50:28.680-0800	[34mINFO[0m	node	node/main.go:132	initialized hotspot detector	{"self": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}, "threshold": 10, "decay_rate": 0.65}
2025-11-25T23:50:28.681-0800	[34mINFO[0m	node	node/main.go:186	Initialized Koorde node	{"self": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}}
2025-11-25T23:50:28.681-0800	[34mINFO[0m	node	node/main.go:262	resolved bootstrap peers	{"self": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}, "peers": ["localhost:4000"]}
2025-11-25T23:50:28.682-0800	[34mINFO[0m	node.http-server	server/http.go:93	HTTP cache server starting	{"self": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}, "addr": ":8088"}
2025-11-25T23:50:28.699-0800	[34mINFO[0m	node	logicnode/node.go:74	join: candidate successor found	{"self": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}, "bootstrap": "localhost:4000", "successor": {"addr":"localhost:4004","id":"0x003ce6a18a52608073"}}
2025-11-25T23:50:28.702-0800	[34mINFO[0m	node	logicnode/node.go:105	join: successor has predecessor	{"self": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}, "predecessor": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}}
2025-11-25T23:50:28.707-0800	[34mINFO[0m	node	logicnode/node.go:138	join: completed successfully	{"self": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}, "self": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}, "successor": {"addr":"localhost:4004","id":"0x003ce6a18a52608073"}}
2025-11-25T23:50:28.708-0800	[34mINFO[0m	node	node/main.go:284	node registered successfully	{"self": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}}
