2025-11-25T23:50:26.405-0800	[34mINFO[0m	config/config.go:302	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 4, "dht.deBruijn.fixInterval": "3s", "dht.deBruijn.fixIntervalMs": 3000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "1.5s", "dht.faultTolerance.failureTimeoutMs": 1500, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": ["localhost:4000"], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4001, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8081, "cache.capacityMB": 256, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-25T23:50:26.454-0800	[34mINFO[0m	node	node/main.go:103	New Node initializing	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}}
2025-11-25T23:50:26.456-0800	[34mINFO[0m	node	node/main.go:125	initialized web cache	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "capacity_mb": 256}
2025-11-25T23:50:26.456-0800	[34mINFO[0m	node	node/main.go:132	initialized hotspot detector	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "threshold": 10, "decay_rate": 0.65}
2025-11-25T23:50:26.457-0800	[34mINFO[0m	node	node/main.go:186	Initialized Koorde node	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}}
2025-11-25T23:50:26.457-0800	[34mINFO[0m	node	node/main.go:262	resolved bootstrap peers	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "peers": ["localhost:4000"]}
2025-11-25T23:50:26.457-0800	[34mINFO[0m	node.http-server	server/http.go:93	HTTP cache server starting	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "addr": ":8081"}
2025-11-25T23:50:26.492-0800	[34mINFO[0m	node	logicnode/node.go:74	join: candidate successor found	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "bootstrap": "localhost:4000", "successor": {"addr":"localhost:4000","id":"0x004f424bb575238275"}}
2025-11-25T23:50:26.495-0800	[34mINFO[0m	node	logicnode/node.go:105	join: successor has predecessor	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "predecessor": {"addr":"localhost:4000","id":"0x004f424bb575238275"}}
2025-11-25T23:50:26.501-0800	[34mINFO[0m	node	logicnode/node.go:138	join: completed successfully	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "successor": {"addr":"localhost:4000","id":"0x004f424bb575238275"}}
2025-11-25T23:50:26.501-0800	[34mINFO[0m	node	node/main.go:284	node registered successfully	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}}
2025-11-25T23:50:42.507-0800	[33mWARN[0m	node	logicnode/worker.go:393	checkPredecessor: failed to get client for predecessor	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "pred": {"addr":"localhost:4000","id":"0x004f424bb575238275"}, "err": "clientpool: no connection in pool"}
2025-11-25T23:50:46.503-0800	[33mWARN[0m	node	logicnode/worker.go:93	ResourceRepair: skipping pass, predecessor is nil	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}}
2025-11-25T23:50:55.448-0800	[34mINFO[0m	node	logicnode/operation.go:541	Notify: predecessor updated	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "newPredecessor": {"addr":"localhost:4000","id":"0x004f424bb575238275"}, "oldPredecessor": null}
2025-11-25T23:51:36.245-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/robots.txt", "hash": "0x00d5ea21672bd0fb7b", "responsible": {"addr":"localhost:4003","id":"0x011c1f485b12f6f310"}, "lookup_latency_ms": 1}
2025-11-25T23:51:36.246-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/robots.txt", "hash": "0x00d5ea21672bd0fb7b", "responsible_from_lookup": {"addr":"localhost:4003","id":"0x011c1f485b12f6f310"}, "forward_target": {"addr":"localhost:4003","id":"0x011c1f485b12f6f310"}}
2025-11-25T23:51:36.299-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/html", "hash": "0x03f8c2be43d945597c", "responsible": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}, "lookup_latency_ms": 5}
2025-11-25T23:51:36.300-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/html", "hash": "0x03f8c2be43d945597c", "responsible_from_lookup": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}, "forward_target": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}}
2025-11-25T23:51:36.502-0800	[34mINFO[0m	node.http-server	server/http.go:256	Using de Bruijn neighbor as Koorde fallback	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/json", "target": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-25T23:51:36.503-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/json", "hash": "0x039f7419ed1a979997", "responsible_from_lookup": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "forward_target": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-25T23:51:36.506-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/robots.txt", "hash": "0x00d5ea21672bd0fb7b", "responsible": {"addr":"localhost:4003","id":"0x011c1f485b12f6f310"}, "lookup_latency_ms": 1}
2025-11-25T23:51:36.506-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/robots.txt", "hash": "0x00d5ea21672bd0fb7b", "responsible_from_lookup": {"addr":"localhost:4003","id":"0x011c1f485b12f6f310"}, "forward_target": {"addr":"localhost:4003","id":"0x011c1f485b12f6f310"}}
2025-11-25T23:51:36.521-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/html", "hash": "0x03f8c2be43d945597c", "responsible": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}, "lookup_latency_ms": 7}
2025-11-25T23:51:36.522-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/html", "hash": "0x03f8c2be43d945597c", "responsible_from_lookup": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}, "forward_target": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}}
2025-11-25T23:51:36.533-0800	[34mINFO[0m	node.http-server	server/http.go:256	Using de Bruijn neighbor as Koorde fallback	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/json", "target": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-25T23:51:36.533-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/json", "hash": "0x039f7419ed1a979997", "responsible_from_lookup": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "forward_target": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-25T23:51:36.539-0800	[34mINFO[0m	node.http-server	server/http.go:256	Using de Bruijn neighbor as Koorde fallback	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/json", "target": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-25T23:51:36.539-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/json", "hash": "0x039f7419ed1a979997", "responsible_from_lookup": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "forward_target": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-25T23:51:36.553-0800	[34mINFO[0m	node.http-server	server/http.go:256	Using de Bruijn neighbor as Koorde fallback	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/json", "target": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-25T23:51:36.554-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/json", "hash": "0x039f7419ed1a979997", "responsible_from_lookup": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "forward_target": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-25T23:51:36.560-0800	[34mINFO[0m	node.http-server	server/http.go:256	Using de Bruijn neighbor as Koorde fallback	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/json", "target": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-25T23:51:36.561-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/json", "hash": "0x039f7419ed1a979997", "responsible_from_lookup": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "forward_target": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-25T23:51:36.578-0800	[34mINFO[0m	node.http-server	server/http.go:256	Using de Bruijn neighbor as Koorde fallback	{"self": {"addr":"localhost:4001","id":"0x0051ee3541f65b0e86"}, "url": "https://httpbin.org/json", "target": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
