2025-11-25T16:37:22.670-0800	[34mINFO[0m	config/config.go:302	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 8, "dht.deBruijn.fixInterval": "3s", "dht.deBruijn.fixIntervalMs": 3000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "1s", "dht.faultTolerance.failureTimeoutMs": 1000, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": ["localhost:4000"], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4015, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8095, "cache.capacityMB": 256, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-25T16:37:22.719-0800	[34mINFO[0m	node	node/main.go:103	New Node initializing	{"self": {"addr":"localhost:4015","id":"0x0096b81747ee4d20a7"}}
2025-11-25T16:37:22.722-0800	[34mINFO[0m	node	node/main.go:124	initialized web cache	{"self": {"addr":"localhost:4015","id":"0x0096b81747ee4d20a7"}, "capacity_mb": 256}
2025-11-25T16:37:22.722-0800	[34mINFO[0m	node	node/main.go:131	initialized hotspot detector	{"self": {"addr":"localhost:4015","id":"0x0096b81747ee4d20a7"}, "threshold": 10, "decay_rate": 0.65}
2025-11-25T16:37:22.723-0800	[34mINFO[0m	node	node/main.go:185	Initialized Koorde node	{"self": {"addr":"localhost:4015","id":"0x0096b81747ee4d20a7"}}
2025-11-25T16:37:22.723-0800	[34mINFO[0m	node	node/main.go:261	resolved bootstrap peers	{"self": {"addr":"localhost:4015","id":"0x0096b81747ee4d20a7"}, "peers": ["localhost:4000"]}
2025-11-25T16:37:22.723-0800	[34mINFO[0m	node.http-server	server/http.go:93	HTTP cache server starting	{"self": {"addr":"localhost:4015","id":"0x0096b81747ee4d20a7"}, "addr": ":8095"}
2025-11-25T16:37:22.745-0800	[34mINFO[0m	node	logicnode/node.go:74	join: candidate successor found	{"self": {"addr":"localhost:4015","id":"0x0096b81747ee4d20a7"}, "bootstrap": "localhost:4000", "successor": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}}
2025-11-25T16:37:22.749-0800	[34mINFO[0m	node	logicnode/node.go:105	join: successor has predecessor	{"self": {"addr":"localhost:4015","id":"0x0096b81747ee4d20a7"}, "predecessor": {"addr":"localhost:4009","id":"0x008bc4b21729c9fe0b"}}
2025-11-25T16:37:22.757-0800	[33mWARN[0m	node	logicnode/operation.go:406	FindSuccessorStep: de Bruijn failed or empty, falling back to successor	{"self": {"addr":"localhost:4015","id":"0x0096b81747ee4d20a7"}, "target": "0x03a84776e121917103", "nextHop": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}}
2025-11-25T16:37:22.767-0800	[34mINFO[0m	node	logicnode/node.go:138	join: completed successfully	{"self": {"addr":"localhost:4015","id":"0x0096b81747ee4d20a7"}, "self": {"addr":"localhost:4015","id":"0x0096b81747ee4d20a7"}, "successor": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}}
